"","lambda","eps","T4","L","M"
"time...779",0.0413551307200848,0.0108,45.8,90.4587639574555,46.1294239977595
"time...780",0.0402886851042684,0.01094,50.8,90.9531185077233,47.0409845314636
"time...781",0.0407859784009833,0.01073,48.9,93.5763402684206,48.0363768380191
"time...782",0.039959881768544,0.01068,53.1,95.2139808594794,49.4401006962805
"time...783",0.0387242164260292,0.01076,59.5,95.9228698556675,50.778782795778
"time...784",0.0419592992081955,0.01101,42.7,88.8323316628827,45.0007088809387
"time...785",0.0421187544760487,0.01088,42.8,88.9038387280134,44.8809258080254
"time...786",0.0407611968371197,0.01072,48.9,93.5732611037076,48.0616287505443
"time...787",0.0392227415561796,0.01103,56,92.6065620452944,48.6735090453829
"time...788",0.0411569472911076,0.01081,46.8,90.765081823699,46.3929432264933
"time...789",0.0407637829157934,0.01072,48.9,93.5735819413832,48.0589914300703
"time...790",0.0393336879641546,0.01107,56,92.5712832865106,48.5282353320997
"time...791",0.0395587820157183,0.01085,55.1,94.2605324151038,49.2346700893278
"time...792",0.0389576105415413,0.01078,58.4,95.6356623170013,50.42260016069
"time...793",0.0405688863366801,0.01106,49.7,91.0507929350194,46.8796783731093
"time...794",0.0398833208658868,0.01079,53,94.0241143447749,48.9086114836492
"time...795",0.0404554677148845,0.01088,49.8,91.0437383182445,46.9968884372182
"time...796",0.0406600042309461,0.01069,48.9,93.560686174174,48.1650711394192
"time...797",0.0407027890044369,0.01085,48.8,91.0481729025207,46.8263402234772
"time...798",0.040658680791387,0.01069,48.9,93.5605211868567,48.1664251176135
"time...799",0.0419661436848851,0.01101,42.7,88.835400790827,44.9955481236205
"time...800",0.0406326562614729,0.01083,48.8,91.0396476852234,46.896230392699
"time...801",0.039799764014766,0.0109,52.9,91.6799534579804,47.7815131094368
"time...802",0.0407151521925198,0.01071,48.9,93.5675388029209,48.1086353564924
"time...803",0.0413922700624763,0.01081,45.8,90.4696356363027,46.0970069671299
"time...804",0.0402874136602219,0.01094,50.8,90.953115677947,47.0423468519416
"time...805",0.0404108743200848,0.01101,49.7,91.0409646663169,47.0431498976451
"time...806",0.0396064468914115,0.01098,53.9,91.3243839070769,47.7280977273689
"time...807",0.0393299212803095,0.01107,56,92.5724807468177,48.5331536327345
"time...808",0.041959544678219,0.01101,42.7,88.8324422732657,45.0005244849158
"time...809",0.0409826217829343,0.01084,47.8,90.9662925585013,46.5825823193531
"time...810",0.0401663618892985,0.01117,51.7,90.7694830812252,46.9921296223012
"time...811",0.0415924485289909,0.01081,44.8,90.0510017122261,45.779703425153
"time...812",0.0416127059408809,0.0105,45,94.126436626059,47.8302217129122
"time...813",0.0386302882401161,0.01093,60.5,94.9674167685163,50.3116032320945
"time...814",0.0393593369559942,0.01108,56,92.5631290859215,48.4947676100101
"time...815",0.0407474930953523,0.01057,49,94.856525474974,48.7358054729708
"time...816",0.0411708932506124,0.01097,46.7,90.7683886171734,46.3802182769594
"time...817",0.0405233892302613,0.0109,49.8,91.0479631856109,46.9266144838939
"time...818",0.037996581614163,0.01085,63.9,96.1176185640766,51.4888550575609
"time...819",0.0402325067257895,0.01078,50.9,93.3758485744573,48.3560757908164
"time...820",0.0399575382637978,0.01068,53.1,95.2142832432684,49.4429346940643
"time...821",0.0400722417909036,0.01114,51.7,90.7750052075738,47.0966261148775
